Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code,Gender,Name,City,State Code,State_x,Zip Code,Country_x,Continent,Birthday,Product Name,Brand,Color,Unit Cost USD,Unit Price USD,SubcategoryKey,Subcategory,CategoryKey,Category,Square Meters
366001,1,1/1/2016,20160113,1269051,0,1048,2,USD,Male,Frank Upchurch,Auberry,CA,California,93602,United States,North America,11/20/1995,A. Datum SLR Camera X136 Silver,A. Datum,Silver,$141.47 ,$427.00 ,402,Digital SLR Cameras,4,Cameras and camcorders,0
366001,2,1/1/2016,20160113,1269051,0,2007,1,USD,Male,Frank Upchurch,Auberry,CA,California,93602,United States,North America,11/20/1995,Fabrikam Microwave 1.5CuFt X1100 Black,Fabrikam,Black,$220.64 ,$665.94 ,803,Microwaves,8,Home Appliances,0
366002,1,1/1/2016,20160112,266019,0,1106,7,CAD,Female,Joan Roche,Red Deer,AB,Alberta,T4N 2A6,Canada,North America,8/24/1962,Contoso SLR Camera M146 Orange,Contoso,Orange,$148.08 ,$322.00 ,402,Digital SLR Cameras,4,Cameras and camcorders,0
366002,2,1/1/2016,20160112,266019,0,373,1,CAD,Female,Joan Roche,Red Deer,AB,Alberta,T4N 2A6,Canada,North America,8/24/1962,Adventure Works Laptop8.9 E0890 White,Adventure Works,White,$166.20 ,$326.00 ,301,Laptops,3,Computers,0
366002,3,1/1/2016,20160112,266019,0,1080,4,CAD,Female,Joan Roche,Red Deer,AB,Alberta,T4N 2A6,Canada,North America,8/24/1962,Contoso SLR Camera X143 Silver,Contoso,Silver,$214.03 ,$646.00 ,402,Digital SLR Cameras,4,Cameras and camcorders,0
366010,1,1/1/2016,20160108,370077,0,618,5,CAD,Female,Carlota Etzel,Sainte-Gertrude,QC,Quebec,G0X 2S0,Canada,North America,2/2/1971,WWI Screen 113in M1610 Black,Wide World Importers,Black,$99.06 ,$299.00 ,305,Projectors & Screens,3,Computers,0
366014,1,1/1/2016,20160106,738549,0,123,1,EUR,Female,Clara Toscani,Pollone,BI,Biella,13814,Italy,Europe,12/25/1998,"Adventure Works 19"" Portable LCD HDTV M110 Black",Adventure Works,Black,$128.76 ,$279.99 ,201,Televisions,2,TV and Video,0
366014,2,1/1/2016,20160106,738549,0,1700,2,EUR,Female,Clara Toscani,Pollone,BI,Biella,13814,Italy,Europe,12/25/1998,SV Hand Games women M40 Red,Southridge Video,Red,$4.08 ,$8.88 ,701,Boxed Games,7,Games and Toys,0
367005,1,1/2/2016,20160110,758280,0,1691,1,EUR,Male,Adolfo Genovesi,Teglia,GE,Genova,16161,Italy,Europe,7/29/1993,SV Hand Games for kids E30 Black,Southridge Video,Black,$2.75 ,$5.39 ,701,Boxed Games,7,Games and Toys,0
367005,2,1/2/2016,20160110,758280,0,319,2,EUR,Male,Adolfo Genovesi,Teglia,GE,Genova,16161,Italy,Europe,7/29/1993,SV Car Video LCD9.2W X9281 Silver,Southridge Video,Silver,$287.92 ,$869.00 ,205,Car Video,2,TV and Video,0
